PC1,Fatigue
-1.3452924167935274,-0.766582393092414
-1.3041669386019823,-0.5520095379425254
-1.6505767690120163,-0.766582393092414
-1.2870512161455112,-0.9114190703185888
-1.376731711177822,-0.4983663241550532
-1.5772523946011905,-0.5949241089725031
-1.2535635682474415,-0.8255899282586333
0.0175021958445537,0.0541587778559099
-0.2196549823395632,-0.1228638276427481
-0.1967667786384439,0.0917090275071404
-0.2437863764107242,0.1346235985371181
-0.0906310116985959,-0.0853135779915176
-0.1161108098477769,0.0863447061283932
-0.1041910417220243,0.1238949557796237
-0.1740125312991524,-0.020941721446551
-0.130495802918023,-0.1657783986727259
-0.288438721817003,0.0917090275071404
-0.0627583577329494,-0.2301502552176924
-0.2999155359170664,-0.2301502552176924
-0.2770273322159472,-0.1926000055664619
-0.3240469299882276,-0.069220613855276
-0.1708915652760992,-0.1872356841877147
-0.1963713634252802,-0.1604140772939786
-0.1844515952995275,-0.0853135779915176
-0.2542730848766557,-0.0906778993702648
-0.2107563564955263,-0.267700504868923
-0.3686992753945062,-0.069220613855276
-0.1430189113104528,-0.3374366827926368
-0.3801760894945699,-0.4071728607163505
-0.3572878857934505,-0.3749869324438672
-0.4043074835657311,-0.267700504868923
-0.2511521188536025,-0.4393587889888338
-0.2766319170027835,-0.4125371820950977
-0.264712148877031,-0.2730648262476702
-0.334533638454159,-0.3052507545201535
-0.2910169100730296,-0.4393587889888338
-0.4489598289720096,-0.2998864331414063
-0.4448878656682916,0.2043597764608319
-0.5448564119943761,0.1989954550820847
-0.5531691207618371,0.2848245971420402
-0.7121586226325063,0.1668095268096014
-1.383313980477899,0.2740959543845457
-0.6251294264729244,0.2043597764608319
-0.5364894684798878,0.1882668123245903
-0.5302865288767608,0.1882668123245903
-0.4738703855320753,-0.0155774000678038
-0.4083337481409154,0.3009175612782818
-0.5654564198179155,0.2740959543845457
-0.5374430799177075,0.354560775065754
-0.5294846569656247,0.4833044881556871
-0.635749654668094,0.0863447061283932
-0.5251484192457948,-0.0102130786890566
-0.6251169655718793,-0.0531276497190343
-0.6334296743393404,-0.0531276497190343
-0.7924191762100097,-0.1550497559152314
-1.4635745340554027,0.0970733488858876
-0.7053899800504276,-0.0584919710977815
-0.6167500220573909,-0.1174995062640009
-0.610547082454264,-0.1174995062640009
-0.5541309391095787,-0.219421612460198
-0.4885943017184186,0.0541587778559099
-0.6457169733954188,-0.0155774000678038
-0.617703633495211,0.1614452054308542
-0.609745210543128,0.1614452054308542
-0.7160102082455972,-0.0155774000678038
-0.6054089728232982,-0.3803512538226145
-0.7053775191493826,-0.3803512538226145
-0.7136902279168438,-0.3374366827926368
-0.8726797297875126,-0.4125371820950977
-1.543835087632906,-0.3749869324438672
-0.7856505336279306,-0.3910798965801089
-0.6970105756348939,-0.3320723614138895
-0.6908076360317672,-0.4393587889888338
-0.6343914926870818,-0.4500874317463283
-0.5688548552959218,-0.3374366827926368
-0.7259775269729221,-0.3749869324438672
-0.6979641870727143,-0.2945221117626591
-0.6900057641206313,-0.3320723614138895
-0.7962707618231003,-0.4822733600188116
-0.9573164572176088,0.2526386688695569
-0.9249535045742217,0.3331034895507651
-0.8617654195021778,0.2901889185207874
-0.8267220366908453,0.231181383354568
-0.8368010518037077,0.3491964536870068
-1.083895066582349,0.1721738481883487
-1.037577010795112,-0.0102130786890566
-1.0052140581517248,0.0166085282046794
-0.9420259730796812,-0.0155774000678038
-0.9069825902683484,-0.0853135779915176
-0.917061605381211,-0.0531276497190343
-1.1641556201598524,-0.0531276497190343
-1.117837564372615,-0.4393587889888338
-1.085474611729228,-0.4125371820950977
-1.022286526657184,-0.3803512538226145
-0.9872431438458512,-0.4071728607163505
-0.997322158958714,-0.3320723614138895
-1.2444161737373556,-0.3964442179588561
-1.691550187896525,1.2235808384228029
-1.9744542332674544,0.778342163986784
-1.87242538409102,1.8941210107662048
-1.8039149629050293,1.003643661894167
-2.08681900827596,0.6710557364118397
-1.9847901590995247,1.1645733032565837
-1.238591095199378,1.2933170163465166
-1.5571082724878362,1.6205406204500967
-1.5113274827179977,1.153844660499089
-1.3509558702078823,1.0304652687879032
-1.669473047496341,0.826621056395509
-1.6236922577265025,0.8856285915617284
-1.3549782344124617,1.722462726646294
-1.347308763898339,1.4810682646026692
-1.1588593697072926,0.7890708067442784
-1.5156340490562492,1.357688872891483
-1.4913654147081052,0.8963572343192228
-1.2818638255002903,0.7246989501993119
7.593190169795816,2.580754147245848
7.459471712144999,3.1440078920143057
7.682879683861359,2.4090958631259376
8.324528295960166,2.698769217578287
8.190809838309345,3.063543071333098
8.414217810025708,2.8382415734257145
9.530757206535029,2.6880405748207927
9.397038748884205,3.417588282330414
9.620446720600569,2.049686330749874
8.260319853098164,2.59684711138209
8.126601395447343,2.9884425720306367
8.350009367163706,2.5861184686245955
7.7391581104444,2.0067717597198964
7.6203487110161054,2.26962350727851
7.772782080096666,2.323266721065982
8.628713913633488,2.162337079703565
8.509904514205191,2.108693865916093
8.662337883285753,2.8757918230769453
9.997548493059949,2.1837943652185543
